name,unique_concert_count,hyperlink
Marshmello,19,https://www.songkick.com/artists/8613384-marshmello/calendar
Marcin,0,https://www.songkick.com/artists/2335982-marcin-wasilewski-trio/calendar
Maxo,1,https://www.songkick.com/artists/1274503-maxo/calendar
Lil Nas X,15,https://www.songkick.com/artists/10001194-lil-nas-x/calendar
Mike Shinoda,0,https://www.songkick.com/artists/2015258-mike-shinoda/calendar
Maurizio Pollini,0,https://www.songkick.com/artists/327242-maurizio-pollini/calendar
Lizzo,29,https://www.songkick.com/artists/5031783-lizzo/calendar
Maroon 5,27,https://www.songkick.com/artists/181875-maroon-5/calendar
Jerry Folk,0,https://www.songkick.com/artists/8404938-jerry-folk/calendar
May Erlewine,17,https://www.songkick.com/artists/225461-may-erlewine/calendar
Eagles of Death Metal,9,https://www.songkick.com/artists/527957-eagles-of-death-metal/calendar
Mat Zo,4,https://www.songkick.com/artists/884052-mat-zo/calendar
ABBA,1,https://www.songkick.com/artists/124886-abba/calendar
H.E.R.,9,https://www.songkick.com/artists/9072494-her-us/calendar
Lindsey Stirling,18,https://www.songkick.com/artists/5429218-lindsey-stirling/calendar
Medasin,0,https://www.songkick.com/artists/8954984-medasin/calendar
My Darkest Days,0,https://www.songkick.com/artists/1169452-my-darkest-days/calendar
Manuel Gardner Fernandes,0,https://www.songkick.com/artists/10189262-manuel-gardner-fernandes/calendar
Miguel Migs,2,https://www.songkick.com/artists/532238-miguel-migs/calendar
MAX,1,https://www.songkick.com/artists/1072686-max/calendar
Matchbox Twenty,54,https://www.songkick.com/artists/30543-matchbox-twenty/calendar
OneRepublic,24,https://www.songkick.com/artists/568431-onerepublic/calendar
Moonchild,15,https://www.songkick.com/artists/133602-moonchild/calendar
Mac Ayres,27,https://www.songkick.com/artists/9044599-mac-ayres/calendar
Mr. Carmack,6,https://www.songkick.com/artists/7465339-mr-carmack/calendar
Muse,32,https://www.songkick.com/artists/219230-muse/calendar
Meshuggah,22,https://www.songkick.com/artists/217917-meshuggah/calendar
OLIVER,0,https://www.songkick.com/artists/2560021-oliver/calendar
Plini,30,https://www.songkick.com/artists/8507178-plini/calendar
Post Malone,19,https://www.songkick.com/artists/8508053-post-malone/calendar
Quietdrive,0,https://www.songkick.com/artists/491917-quietdrive/calendar
Polyphia,45,https://www.songkick.com/artists/6308759-polyphia/calendar
Powfu,6,https://www.songkick.com/artists/10041489-powfu/calendar
Queens of the Stone Age,15,https://www.songkick.com/artists/479466-queens-of-the-stone-age/calendar
RAYE,22,https://www.songkick.com/artists/7177119-raye/calendar
Martin Garrix,25,https://www.songkick.com/artists/5003643-martin-garrix/calendar
Primus,0,https://www.songkick.com/artists/385368-primus/calendar
NOTD,8,https://www.songkick.com/artists/9893659-notd/calendar
Solstice Coil,0,https://www.songkick.com/artists/31787-solstice-coil/calendar
Marianas Trench,1,https://www.songkick.com/artists/96444-marianas-trench/calendar
Parov Stelar,7,https://www.songkick.com/artists/8954549-parov-stelar/calendar
Sungazer,32,https://www.songkick.com/artists/8469503-sungazer/calendar
Ruslan Sirota,0,https://www.songkick.com/artists/3705496-ruslan-sirota/calendar
Point Point,0,https://www.songkick.com/artists/8239128-point-point/calendar
Radiohead,0,https://www.songkick.com/artists/253846-radiohead/calendar
Periphery,10,https://www.songkick.com/artists/973012-periphery/calendar
Sparkee,0,https://www.songkick.com/artists/10077485-sparkee/calendar
Pryapisme,0,https://www.songkick.com/artists/1061012-pryapisme/calendar
Nine Inch Nails,0,https://www.songkick.com/artists/241755-nine-inch-nails/calendar
Sevek,1,https://www.songkick.com/artists/10248881-sevek-br/calendar
Mother Mother,6,https://www.songkick.com/artists/547378-mother-mother/calendar
Justin Timberlake,0,https://www.songkick.com/artists/209003-justin-timberlake/calendar
The Academy Of Ancient Music,3,https://www.songkick.com/artists/121215-academy-of-ancient-music/calendar
Paramore,40,https://www.songkick.com/artists/127596-paramore/calendar
Shai Maestro,8,https://www.songkick.com/artists/1001072-shai-maestro/calendar
Theory of a Deadman,27,https://www.songkick.com/artists/209134-theory-of-a-deadman/calendar
Tennyson,0,https://www.songkick.com/artists/8375803-tennyson/calendar
Serj Tankian,0,https://www.songkick.com/artists/582183-serj-tankian/calendar
Sam Smith,66,https://www.songkick.com/artists/807990-sam-smith/calendar
Taylor McFerrin,0,https://www.songkick.com/artists/670649-taylor-mcferrin/calendar
The Safety Fire,0,https://www.songkick.com/artists/1997655-safety-fire/calendar
The Chicks,44,https://www.songkick.com/artists/10139235-chicks-us/calendar
Paris Monster,1,https://www.songkick.com/artists/7850694-paris-monster/calendar
The Chainsmokers,10,https://www.songkick.com/artists/2867816-chainsmokers/calendar
Shawn Mendes,1,https://www.songkick.com/artists/8008073-shawn-mendes/calendar
Shag,0,https://www.songkick.com/artists/139287-shag/calendar
Snarky Puppy,28,https://www.songkick.com/artists/29793-snarky-puppy/calendar
Todd Rundgren,8,https://www.songkick.com/artists/591959-todd-rundgren/calendar
Vampire Weekend,0,https://www.songkick.com/artists/288696-vampire-weekend/calendar
Thirty Seconds To Mars,1,https://www.songkick.com/artists/4550768-thirty-seconds-to-mars/calendar
